experiment,model,split,metric,value,source_file,source_field,verification_status,notes
ROI three-model formal comparison,ImageNet Baseline,test,loss,0.604004159373,outputs/raddino_convnext_tiny_three_model_comparison_seed42/tables/overall_metrics_comparison.csv,baseline,verified,
ROI three-model formal comparison,RAD-DINO CLS Proposed,test,loss,0.531535144682,outputs/raddino_convnext_tiny_three_model_comparison_seed42/tables/overall_metrics_comparison.csv,cls_proposed,verified,
ROI three-model formal comparison,RAD-DINO Patch Proposed,test,loss,0.521369605600,outputs/raddino_convnext_tiny_three_model_comparison_seed42/tables/overall_metrics_comparison.csv,patch_proposed,verified,
ROI three-model formal comparison,cls_minus_baseline,test,loss_difference,-0.072469014691,outputs/raddino_convnext_tiny_three_model_comparison_seed42/tables/overall_metrics_comparison.csv,cls_minus_baseline,verified,
ROI three-model formal comparison,patch_minus_baseline,test,loss_difference,-0.082634553773,outputs/raddino_convnext_tiny_three_model_comparison_seed42/tables/overall_metrics_comparison.csv,patch_minus_baseline,verified,
ROI three-model formal comparison,patch_minus_cls,test,loss_difference,-0.010165539082,outputs/raddino_convnext_tiny_three_model_comparison_seed42/tables/overall_metrics_comparison.csv,patch_minus_cls,verified,
ROI three-model formal comparison,ImageNet Baseline,test,accuracy,0.799559471366,outputs/raddino_convnext_tiny_three_model_comparison_seed42/tables/overall_metrics_comparison.csv,baseline,verified,
ROI three-model formal comparison,RAD-DINO CLS Proposed,test,accuracy,0.792951541850,outputs/raddino_convnext_tiny_three_model_comparison_seed42/tables/overall_metrics_comparison.csv,cls_proposed,verified,
ROI three-model formal comparison,RAD-DINO Patch Proposed,test,accuracy,0.799559471366,outputs/raddino_convnext_tiny_three_model_comparison_seed42/tables/overall_metrics_comparison.csv,patch_proposed,verified,
ROI three-model formal comparison,cls_minus_baseline,test,accuracy_difference,-0.006607929515,outputs/raddino_convnext_tiny_three_model_comparison_seed42/tables/overall_metrics_comparison.csv,cls_minus_baseline,verified,
ROI three-model formal comparison,patch_minus_baseline,test,accuracy_difference,0.000000000000,outputs/raddino_convnext_tiny_three_model_comparison_seed42/tables/overall_metrics_comparison.csv,patch_minus_baseline,verified,
ROI three-model formal comparison,patch_minus_cls,test,accuracy_difference,0.006607929515,outputs/raddino_convnext_tiny_three_model_comparison_seed42/tables/overall_metrics_comparison.csv,patch_minus_cls,verified,
ROI three-model formal comparison,ImageNet Baseline,test,macro_precision,0.808540135245,outputs/raddino_convnext_tiny_three_model_comparison_seed42/tables/overall_metrics_comparison.csv,baseline,verified,
ROI three-model formal comparison,RAD-DINO CLS Proposed,test,macro_precision,0.801058171939,outputs/raddino_convnext_tiny_three_model_comparison_seed42/tables/overall_metrics_comparison.csv,cls_proposed,verified,
ROI three-model formal comparison,RAD-DINO Patch Proposed,test,macro_precision,0.808109785784,outputs/raddino_convnext_tiny_three_model_comparison_seed42/tables/overall_metrics_comparison.csv,patch_proposed,verified,
ROI three-model formal comparison,cls_minus_baseline,test,macro_precision_difference,-0.007481963306,outputs/raddino_convnext_tiny_three_model_comparison_seed42/tables/overall_metrics_comparison.csv,cls_minus_baseline,verified,
ROI three-model formal comparison,patch_minus_baseline,test,macro_precision_difference,-0.000430349461,outputs/raddino_convnext_tiny_three_model_comparison_seed42/tables/overall_metrics_comparison.csv,patch_minus_baseline,verified,
ROI three-model formal comparison,patch_minus_cls,test,macro_precision_difference,0.007051613845,outputs/raddino_convnext_tiny_three_model_comparison_seed42/tables/overall_metrics_comparison.csv,patch_minus_cls,verified,
ROI three-model formal comparison,ImageNet Baseline,test,macro_recall,0.820978791183,outputs/raddino_convnext_tiny_three_model_comparison_seed42/tables/overall_metrics_comparison.csv,baseline,verified,
ROI three-model formal comparison,RAD-DINO CLS Proposed,test,macro_recall,0.812305618909,outputs/raddino_convnext_tiny_three_model_comparison_seed42/tables/overall_metrics_comparison.csv,cls_proposed,verified,
ROI three-model formal comparison,RAD-DINO Patch Proposed,test,macro_recall,0.809663859900,outputs/raddino_convnext_tiny_three_model_comparison_seed42/tables/overall_metrics_comparison.csv,patch_proposed,verified,
ROI three-model formal comparison,cls_minus_baseline,test,macro_recall_difference,-0.008673172274,outputs/raddino_convnext_tiny_three_model_comparison_seed42/tables/overall_metrics_comparison.csv,cls_minus_baseline,verified,
ROI three-model formal comparison,patch_minus_baseline,test,macro_recall_difference,-0.011314931283,outputs/raddino_convnext_tiny_three_model_comparison_seed42/tables/overall_metrics_comparison.csv,patch_minus_baseline,verified,
ROI three-model formal comparison,patch_minus_cls,test,macro_recall_difference,-0.002641759010,outputs/raddino_convnext_tiny_three_model_comparison_seed42/tables/overall_metrics_comparison.csv,patch_minus_cls,verified,
